gameid, league, split, playoffs, series_num, game_num, ego_team, opp_team, gamelength, top_player, top_champion, top_primary_kills, top_primary_deaths, top_primary_assists, top_primary_total_cs, jgl_player, jgl_champion, jgl_primary_kills, jgl_primary_deaths, jgl_primary_assists, jgl_primary_total_cs, mid_player, mid_champion, mid_primary_kills, mid_primary_deaths, mid_primary_assists, mid_primary_total_cs, bot_player, bot_champion, bot_primary_kills, bot_primary_deaths, bot_primary_assists, bot_primary_total_cs, sup_player, sup_champion, sup_primary_kills, sup_primary_deaths, sup_primary_assists, sup_primary_total_cs, constant_turrets, constant_dragons, constant_heralds, constant_barons, constant_win, constant_win_under_30, constant_first_blood
LOLTMNT02_157848, PCS, Summer, 1, A, 1, PSG Talon, Frank Esports, 1954, Azhi, Rumble, 2, 2, 5, 275.0, JunJia, Sejuani, 0, 3, 6, 207.0, Maple, Tristana, 2, 0, 7, 331.0, Betty, Kalista, 4, 0, 5, 386.0, Woody, Renata Glasc, 2, 1, 7, 45.0, 9.0, 2.0, 0.0, 1.0, 1, 1, 0.0
LOLTMNT02_158481, PCS, Summer, 1, A, 2, PSG Talon, Frank Esports, 1482, Azhi, Rumble, 2, 0, 5, 197.0, JunJia, Sejuani, 2, 1, 7, 166.0, Maple, Lucian, 5, 1, 3, 243.0, Betty, Miss Fortune, 3, 0, 5, 285.0, Woody, Rell, 0, 1, 8, 35.0, 11.0, 1.0, 0.0, 1.0, 1, 1, 1.0
LOLTMNT02_157866, PCS, Summer, 1, A, 3, PSG Talon, Frank Esports, 2172, Azhi, Kennen, 4, 1, 3, 315.0, JunJia, Sejuani, 1, 1, 7, 239.0, Maple, Lucian, 4, 1, 1, 329.0, Betty, Ezreal, 2, 0, 5, 367.0, Woody, Rakan, 0, 2, 10, 48.0, 8.0, 4.0, 0.0, 1.0, 1, 1, 0.0
LOLTMNT02_161067, PCS, Summer, 1, B, 1, PSG Talon, Fukuoka SoftBank HAWKS gaming, 2013, Azhi, K'Sante, 1, 5, 9, 233.0, JunJia, Zyra, 2, 4, 11, 256.0, Maple, Zeri, 13, 1, 4, 347.0, Betty, Jhin, 6, 1, 15, 309.0, Woody, Rell, 1, 5, 17, 34.0, 9.0, 2.0, 1.0, 2.0, 1, 1, 1.0
LOLTMNT02_161072, PCS, Summer, 1, B, 2, PSG Talon, Fukuoka SoftBank HAWKS gaming, 2206, Azhi, Vayne, 3, 2, 5, 261.0, JunJia, Lillia, 6, 3, 5, 280.0, Maple, Zeri, 1, 1, 7, 389.0, Betty, Ashe, 3, 2, 6, 363.0, Woody, Rell, 1, 3, 9, 35.0, 10.0, 2.0, 0.0, 1.0, 1, 1, 0.0
LOLTMNT02_162074, PCS, Summer, 1, B, 3, PSG Talon, Fukuoka SoftBank HAWKS gaming, 1734, Azhi, K'Sante, 4, 3, 7, 190.0, JunJia, Zyra, 3, 0, 11, 260.0, Maple, Zeri, 7, 2, 7, 296.0, Betty, Jhin, 6, 1, 8, 267.0, Woody, Alistar, 3, 1, 16, 26.0, 11.0, 3.0, 1.0, 1.0, 1, 1, 1.0
LOLTMNT02_164195, PCS, Summer, 1, C, 1, PSG Talon, Fukuoka SoftBank HAWKS gaming, 1661, Azhi, Rumble, 10, 1, 6, 248.0, JunJia, Skarner, 4, 2, 13, 166.0, Maple, Corki, 2, 3, 11, 278.0, Betty, Ashe, 4, 2, 9, 273.0, Woody, Renata Glasc, 0, 1, 17, 41.0, 11.0, 2.0, 0.0, 1.0, 1, 1, 1.0
LOLTMNT02_164205, PCS, Summer, 1, C, 2, PSG Talon, Fukuoka SoftBank HAWKS gaming, 1456, Azhi, Rumble, 7, 2, 8, 195.0, JunJia, Skarner, 4, 2, 17, 169.0, Maple, Corki, 9, 2, 9, 226.0, Betty, Kai'Sa, 2, 1, 13, 209.0, Woody, Rell, 3, 3, 19, 33.0, 8.0, 2.0, 0.0, 0.0, 1, 1, 0.0
LOLTMNT02_163282, PCS, Summer, 1, C, 3, PSG Talon, Fukuoka SoftBank HAWKS gaming, 1871, Azhi, Tristana, 3, 5, 3, 262.0, JunJia, Maokai, 1, 6, 4, 156.0, Maple, Corki, 1, 5, 4, 283.0, Betty, Jhin, 3, 2, 3, 307.0, Woody, Leona, 1, 5, 7, 34.0, 4.0, 2.0, 0.0, 0.0, 0, 0, 0.0
LOLTMNT02_163305, PCS, Summer, 1, C, 4, PSG Talon, Fukuoka SoftBank HAWKS gaming, 1896, Azhi, Rumble, 10, 4, 7, 220.0, JunJia, Sejuani, 0, 4, 12, 196.0, Maple, Corki, 7, 1, 12, 325.0, Betty, Ezreal, 6, 1, 10, 318.0, Woody, Leona, 1, 3, 15, 33.0, 10.0, 4.0, 0.0, 2.0, 1, 1, 0.0
